指数代码,交易日期,开盘价,收盘价,最低价,最高价,成交量,成交额,涨跌幅
sz399006,2013-01-31,717.3,776.01,699.17,795.07,93497065.0,1.366898977e+11,0.0870618888858
sz399006,2013-02-28,775.11,861.1,765.97,865.8,63893547.0,1.015874955e+11,0.109650648832
sz399006,2013-03-31,860.8,866.46,821.35,905.16,80735239.0,1.359057282e+11,0.00622459644641
sz399006,2013-04-30,866.65,889.38,817.35,937.56,54371103.0,1.043474912e+11,0.0264524617409
sz399006,2013-05-31,887.08,1073.02,883.79,1091.25,120312670.0,2.291651821e+11,0.206480919292
sz399006,2013-06-30,1070.73,1011.66,903.67,1091.91,91804396.0,1.699494452e+11,-0.0571843954446
sz399006,2013-07-31,1011.27,1134.02,1005.8,1208.13,139884061.0,2.743028899e+11,0.120949726193
sz399006,2013-08-31,1135.45,1185.15,1125.59,1253.4,122860796.0,2.375416343e+11,0.0450873882295
sz399006,2013-09-30,1179.32,1367.91,1178.01,1368.66,99876715.0,2.264558549e+11,0.15420832806
sz399006,2013-10-31,1376.37,1235.56,1205.0,1423.97,120516984.0,2.856734624e+11,-0.0967534413814
sz399006,2013-11-30,1227.69,1366.83,1191.18,1369.12,109680682.0,2.510922065e+11,0.106243322866
sz399006,2013-12-31,1296.7,1304.44,1194.75,1317.69,123056028.0,2.603348559e+11,-0.0456457642867
sz399006,2014-01-31,1302.3,1495.98,1299.34,1507.87,121289240.0,2.946865036e+11,0.146836956855
sz399006,2014-02-28,1489.05,1434.89,1393.0,1571.4,104502275.0,2.598439272e+11,-0.0408361074346
sz399006,2014-03-31,1433.9,1327.8,1315.49,1493.39,89168454.0,2.167413903e+11,-0.0746328986891
sz399006,2014-04-30,1327.18,1283.21,1248.32,1395.04,68352681.0,1.600676188e+11,-0.0335818647387
sz399006,2014-05-31,1281.16,1318.13,1210.81,1341.57,74866049.0,1.553208787e+11,0.0272130048862
sz399006,2014-06-30,1317.99,1404.71,1303.36,1404.71,117511924.0,2.346793427e+11,0.0656839613695
sz399006,2014-07-31,1405.44,1344.54,1255.69,1428.67,141511989.0,2.71874934e+11,-0.0428344640531
sz399006,2014-08-31,1339.98,1424.47,1321.2,1465.67,139681242.0,2.752833119e+11,0.0594478408973
sz399006,2014-09-30,1428.37,1540.87,1427.93,1540.95,157940229.0,3.245460969e+11,0.0817146026241
sz399006,2014-10-31,1543.59,1513.27,1465.96,1569.06,117600479.0,2.544765448e+11,-0.0179119588285
sz399006,2014-11-30,1513.25,1570.85,1434.27,1582.48,128806051.0,2.804306894e+11,0.0380500505528
sz399006,2014-12-31,1569.65,1471.76,1450.05,1674.98,213737448.0,5.021527975e+11,-0.0630804978197
